Transcriber's note:


Text enclosed by underscores is in italics (_italics_).

Text enclosed by equal signs is in bold (=bold=).

Corrections and alterations from the original can be found at the end of
the book.




Transcriber's note:


Printer errors such as missing punctuation have been corrected silently.
Mis-spellings have been corrected if they were deemed to be printer 
errors, but those deemed to be deliberate spelling variations have 
been retained.

The following alterations have been made:

img	comment	action
108	otherwise it is insipid, and not so good as mutton. A hind[**missing hyphen?]	added hyphen
175	on a dry day, just before the plant flowers.[**P1 added full stop] Pick the green	added point
406	PINE-APPLE-ADE.--Pare and slice some very ripe pine-apples;[**usage seems to be with a hyphen]	agreed
290	[** hyphen invisible]of sugar and a quarter of a pound of butter, and set	as above
237	Pine[**hyphen?] apples may be preserved in slices by a very simple	as above
186	***led[**not clear what it is][**I think it's "boiled"] meat, or with salt cod.	boiled added. scanno
531	Vermicelli soup[** , ] 25.	comma added
514	Beef, (corned or salted,) to boil[** , missing] 73.	comma added
528	Rice, to boil for curry[**,] 146.	comma added
34	oysters; and when it comes to a boil again, they will be sufciently[**typo for sufficiently]	corrected
206	a little[** not sure] at a time. Keep stirring it gently, and continue to do	corrected 'iittle' to 'little' (printer error)
441	in three-quarters of a pound of powdered white sugar, an[** and?]	corrected (image unclear)
441	melt a small tea-spoonful of sal-aratus or pearl-ash in a pi[**unsure][**pint?]	corrected (image unclear)
505	knowledge of the joints.[**?,] and of the process of carving, which	corrected (printer error)
505	well drained.[**?,] and the water should have settled there.	corrected (printer error)
79	ten minutes, but do not allow it to boil, lest (having beef[** been?]	corrected (printer error)
355	ones that are to hold four at a time; as the wafflles[**typo for waffles?] baked in	corrected (printer error)
56	of[**If] it is too thick, thin it with some additional milk.	corrected (printer error)
85	great deal of salt well into it. Cover it carefully, and keen[**keep?]	corrected (printer error)
48	but[** typo for put] into a cold place will keep a fortnight.	corrected (printer error)
363	melted; then stir it well, and set it away too[**should be "to"] cool. Beat five	corrected (printer error)
101	them to pieces and pound them to a paste in a mortar, moisttening[** moistening?]	corrected (printer error)
194	before roasting.  Take large onions, place them on a ho[**should be hot ?]	corrected (printer error)
287	&c. Add the spice, and lastly the currants; having dredges[**dredged]	corrected (printer error)
464	After it has congealed in the freezer, you[**upside-down "u" in original] may transfer it to	corrected (printer error)
459	interpersed[**P1 interspersed] (as above) with bits of butter, and layers of grated	corrected (printer error)
126	cloves; and one clove or[** of] garlic minced very fine.	corrected (printer error)
289	pound of brown sugar, and a table-spooonful[**table-spoonful] of powdered cinnamon.	corrected (printer error)
421	jasmine, wall-flower, tuberose, magnolia blossoms, or and[**?typo for any]	corrected (printer error)
323	Instead of using a figure-mould, you may set it to congea.[**typo for congeal?]	corrected (printer error)
152	of cream or rich milk[**typo--mllk], and the beaten yolks of three	corrected (printer error)
158	It[**P1 changed f to t] must be stewed for a long time, skimmed, strained, thickened,	corrected (printer error)
161	into a small sauce-pan. Mix with a wine-glass of water[**p2: comma? ] sufficient	corrected (printer error)
170	In using this catchup, allow four table-spoonfuls to a common-seized[**sized]	corrected (printer error)
361	almond into two slips. Spread them over a lage [** typo for large in the original] dish, and	corrected (printer error)
297	being long and thoroughly boiled. If sufficienlty[**error for "sufficiently"?] cooked, it is	corrected (printer error)
136	[**On? In? -- Bad image][**In] buying poultry choose those that are fresh and fat.	corrected (scanno)
138	with[** looks like 'with'] a force-meat, put them before a clear fire and roast them	corrected (scanno)
439	the proportion of a pound of butter to two pounds of flour.[**?,]	corrected silently
375	to a pint of yeast. This will correct any tendency to sour [*NOTE missing hyphen to join these two words][**P2:sourness,]	corrected silently
406	it stand till quite cool, occasionally pressing down the pine-*apple[**for consistency, I have added hyphen]	corrected silently
471	purposes. Apple-sauce and apple-pies should always be flavoured[** - invisible]	corrected silently
471	If, instead of having it liquid, you wish the syrup to crystallize[** - not visible]	corrected silently
36	it with butter rolled in flour. Add a small bunch of sweet[**hyphen?, no hyphen in next paragraph]	hyphen deleted (printer error, not scanno)
427	MISCELLANEOUS RECEIPTS.[**variant for recipes]	ignored
426	jill[**?spill][**p2: no ] of rose or orange-flower water. Then beat in, gradually,	ignored
433	tightly[** poor image possibly-tightly], and keep them in a dry place. Those that are used	ignored
433	this manner keep perfectly well and retain their colour. For [**To?]	ignored
445	in,[**comma] a tea-cup of fine brown sugar, two large table-spoonfuls of	ignored
